,doi,keywords
0,10.1109/ACCESS.2019.2943668,"['classification', 'ontology', 'graph lstm', 'chinese', 'lstm', 'domain', 'knowledge', 'graph', 'top level ontology', 'top level']"
1,10.1109/ICIIS51140.2020.9342650,"['absa', 'dataset', 'sigmalaw absa', 'sigmalaw', 'publicly available', 'publicly', 'opinion', 'legal opinion', 'available', 'legal']"
2,10.1109/KSE.2019.8919370,"['rhetorical', 'court document', 'document', 'analysis', 'court', 'processing', 'sentence', 'information', 'summarization', 'structure analysis']"
3,10.1109/KSE.2016.7758062,"['approaches', 'vietnamese', 'neural networks', 'networks', 'lstm', 'neural', 'vietnamese legal documents', 'vietnamese business law', 'vietnamese business', 'utilize four models']"
4,10.1109/ICACSIS51025.2020.9263157,"['learning methods', 'crf', 'lstm', 'methods', 'lstm crf', 'legal entities', 'indonesian court decision', 'indonesian court', 'indonesian', 'identify relevant']"
5,10.1109/BigData47090.2019.9006182,"['learning models', 'settings', 'review', 'predictive coding', 'predictive', 'coding', 'models', 'deep learning models', 'legal', 'learning']"
6,10.1109/QRS-C.2019.00038,"['intelligence', 'problem', 'framework', 'artificial intelligence', 'accusation', 'artificial', 'methods', 'data', 'use data judiciary', 'urgent demand high']"
7,10.1109/ICSSIT48917.2020.9214278,"['india', 'judicial', 'bailable', 'nlp', 'cnn', 'case', 'law', 'data', 'text', 'work data taken']"
8,10.1109/ICDMW51313.2020.00116,"['supreme court', 'supreme', 'supreme court database', 'supervised', 'semi supervised', 'semi', 'issue areas', 'issue', 'database', 'court database']"
9,10.1109/NICS51282.2020.9335906,"['vietnamese legal', 'vietnamese', 'question', 'bert', 'model', 'achieve', 'vietnamese legal domain', 'solutions', 'question answering systems', 'pre']"
