doi,keywords
10.1109/ACCESS.2019.2943668,"['lstm graph lstm', 'last graph lstm', 'knowledge blocks according', 'judicial domain model', 'domain knowledge extraction', 'different knowledge blocks', 'deep semantic understanding', 'legal domain model', 'traditional classification methods', 'higher classification accuracy']"
10.1109/ICIIS51140.2020.9342650,"['publicly available datasets', 'paper also describes', 'many different domains', 'domains usually fulfill', 'sub - tasks', 'legal opinion texts', 'publicly available dataset', 'legal domain', 'absa tasks', 'widely discussed']"
10.1109/KSE.2019.8919370,"['natural language processing', 'achieved promising results', 'wide range', 'well noticed', 'rhetorical status', 'output structures', 'legal domain', 'information retrieval', 'example summarization', 'court document']"
10.1109/KSE.2016.7758062,"['vietnamese legal documents', 'recognize logical parts', 'conditional random fields', '- art performance', 'state -', 'experimental results', 'approach although', '-', 'use', 'promising']"
10.1109/ICACSIS51025.2020.9263157,"['identify relevant information', 'recognize legal entities', 'bi - lstm', 'crf methods achieve', 'legal domain', '- %', 'results show', 'research examines', 'increasing number', 'crf']"
10.1109/BigData47090.2019.9006182,"['word embeddings -', 'time - consuming', 'shown better performance', 'widely used', 'prioritized based', 'preliminary results', 'paper shows', 'logistic regression', 'legal practitioners', 'legal industry']"
10.1109/QRS-C.2019.00038,"['relevant personnel improve', 'promote fair enforcement', 'moving towards intelligent', 'achieve excellent performance', 'machine learning models', 'artificial intelligence methods', 'traditional methods', 'legal intelligence', 'deep learning', 'paper proposes']"
10.1109/ICSSIT48917.2020.9214278,"['proposed ie one', 'approximate judicial decision', 'per judicial law', 'research work data', 'india publish judgment', 'judicial pronouncement', 'statute law', 'words technique', 'statistically analyzing', 'results show']"
10.1109/ICDMW51313.2020.00116,"['supreme court database', ""supreme court '"", 'st louis school', '- point cases', 'washington university', 'nonmetric space', 'legal researchers', 'labeling approach', 'issue areas', 'inductive method']"
10.1109/NICS51282.2020.9335906,"['question answering systems', 'pre - train', 'fine - tuning', 'answer selection approach', 'bert language model', 'vietnamese legal domain', 'original bert model', 'original bert', 'legal area', 'several solutions']"
all papers,"['st louis school', 'recognize logical parts', 'question answering systems', 'publicly available datasets', 'promote fair enforcement', 'moving towards intelligent', 'lstm graph lstm', 'last graph lstm', 'domains usually fulfill', 'conditional random fields']"
